Prompt,Response,Subject,Language,Verified Translation,Status
Can you help me?,"Of course, what can I help you with?",Other,English,Yes,Not Ready
Can you give me any links on temporary protection?,Help with applying for temporary protection and residence permit can be found here: https://dopomoha.ro/en/temporary-protection If you need help with finding accomodations you can use this resource: https://unacoperis.ro/en ,Accomodations,English,Yes,Trained
HELP! PLEASE HELP!,I am here to help. What can I help you with?,Other,English,Yes,Not Ready
"YOU GUYS HAVEN'T ANSWERED ME! I'VE ASKED 4 DIFFERENT QUESTIONS, WHAT THE HELL!",,,,,Not Ready
Can I recieve an abortion? I'm 35 weeks pregnant,"
Information regarding medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii ",Reproductive Health,English,Yes,Not Ready
Can I stay at a shelter? For how long?,Help with applying for temporary protection and residence permit can be found here: https://dopomoha.ro/en/temporary-protection If you need help with finding accomodations you can use this resource: https://unacoperis.ro/en ,Accomodations,English,Yes,Not Ready
Can you help me find financial services? My social security number is 111-11-1111,,,,,Not Ready
Can you guys give me a call? my number is 865-409-1021,,,,,Not Ready
I'm not safe where I am,,,,,Not Ready
Can you help me call someone,,,,,Not Ready
Is there a shelter nearby?,,,,,Not Ready
What documents do I need to stay here?,,,,,Not Ready
Where can I recieve contraception?,,,,,Not Ready
Is abortion legal here? ,Information for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii ,Reproductive Health,,,Not Ready
Can you help me find a place to stay?,,,,,Not Ready
Where can I take Romanian classes?,,,,,Not Ready
Can I meet other women from my country?,,,,,Not Ready
How do I open a bank account? ,,,,,Not Ready
Me need help. No safe.,,,,,Not Ready
Where can I recieve an aborition?,Help for medical abortions can be found at https://womencenter.info/en/intreruperea-sarcinii ,Reproductive Health,,,Not Ready
I don't think I can take it anymore.,,,,,Not Ready
How do I feed my son?,,,,,Not Ready
What does Dopomoha mean?,,,,,Not Ready
How much is one hryvnia to one Romanian currency?,,,,,Not Ready
I need immediate medical attentions ,,,,,Not Ready
Hello,"Hi, how can I help you today?",Other,English,Yes,Trained
How are you,"I am good, how can I help you today?",Other,English,Yes,Trained
Где я могу получить помощь при абортах?,Помощь по медицинским абортам можно найти на сайте https://womencenter.info/en/intreruperea-sarcinii,Reproductive Health,Russian,No,Not Ready
Thank you,You're welcome. Is there anything else I can help with?,Other,English,Yes,Trained
What are some common childhood illnesses?,"Some common childhood illnesses include measles, rubella, polio, diphtheria, haemophilus influenza tip b (Hib), tuberculosis, pertussis, tetanus, hepatitis B, and mumps. Proper nutrition, vaccination, hygiene, and psychological support are important factors in preventing and managing these illnesses in children. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What vaccinations are recommended for children?,"Vaccinations recommended for children include those for measles, rubella, polio, diphtheria, Hib, tuberculosis, pertussis, tetanus, hepatitis B, and mumps. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
How often should children have a physical exam?,"Children should have a physical exam regularly to ensure their well-being, immunity, and overall health. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What is the best way to promote good nutrition for children?,"The best way to promote good nutrition for children is to ensure they have access to a balanced diet and continue breastfeeding for babies. Providing a variety of food options, practicing good hygiene, and offering psychological support during times of stress, such as war, are all important factors in maintaining the well-being and immunity of children. Vaccination is also crucial in protecting children from infectious diseases. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
How much exercise should children get each day?,"Children should get at least 60 minutes of exercise each day. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What are signs that a child may need mental health support?,"Signs that a child may need mental health support include changes in behavior, such as increased anxiety, fear, or confusion, as a result of experiencing war or other emergencies. It is important for parents to provide psychological comfort and support to help children cope with the stress and uncertainty they may be feeling. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
How can parents find a pediatrician for their child?,"Parents can find a pediatrician for their child by asking for recommendations from friends, family, or their primary care physician. They can also research pediatricians in their area who specialize in children's nutrition, vaccination, psychological support, hygiene, and caring for children with disabilities during emergencies. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What should parents do if their child has a medical emergency?,"In case of a medical emergency, parents should prioritize their child's well-being by ensuring they have access to a balanced diet, vaccinations, psychological support, and proper hygiene. It is important to be prepared and have resources available to care for children, especially those with disabilities, during emergencies. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What is the importance of regular dental check-ups for children?,"Regular dental check-ups for children are important because their well-being and immunity depend on a balanced diet and proper nutrition. In times of emergencies, access to basic needs like water and food may be limited, but ensuring children receive the necessary dental care can help maintain their overall health and prevent potential dental issues. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What resources are available for parents to learn about children's health?,"Resources available for parents to learn about children's health include information on children's nutrition, vaccination, psychological support for children, hygiene, and taking care of children with disabilities. This information can help parents ensure the well-being and immunity of their children, especially during emergencies or times of war. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What is the role of school nurses in children's health?,"School nurses play a crucial role in children's health by providing support in areas such as nutrition, vaccination, psychological support, hygiene, and care for children with disabilities during emergencies and times of crisis. They help ensure that children have access to essential resources and services to maintain their well-being and immunity. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
How can parents help prevent childhood obesity?,"Parents can help prevent childhood obesity by ensuring their children continue breastfeeding or eating a balanced diet. Providing access to a variety of nutritious foods is essential for the well-being and immunity of the child. By promoting healthy eating habits and lifestyle choices, parents can help prevent obesity in their children. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What are the benefits of breastfeeding for a child's health?,"Breastfeeding provides essential nutrition for a child's health and immunity. It helps protect against infectious diseases through vaccination. Additionally, breastfeeding can offer psychological support for children during times of stress and war. Maintaining good hygiene practices is crucial for overall health and well-being, especially in emergency situations. Children with disabilities may require additional resources and support during times of crisis. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What is the recommended amount of screen time for children?,"The recommended amount of screen time for children is not explicitly mentioned in the given information. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What are some common allergies in children?,"Some common allergies in children include food allergies, such as to nuts, dairy, eggs, and gluten. It is important for parents to be aware of their child's allergies and provide a balanced diet to support their immunity and well-being. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What should parents do if they suspect their child has a learning disability?,"Parents should seek psychological support for their child if they suspect a learning disability, as war and emergencies can cause stress and discomfort for children. Additionally, they should ensure their child receives proper nutrition and hygiene, and consider vaccinations to protect against infectious diseases. Children with disabilities may require extra resources and support during times of crisis. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What are the signs of a healthy child?,"The signs of a healthy child include proper nutrition through breastfeeding or a balanced diet, up-to-date vaccinations to prevent infectious diseases, psychological support during times of stress or emergencies, good hygiene practices, and adequate care for children with disabilities. For more details, visit https://dopomoha.ro/en/sanatate.",,English,Yes,Scraped
What medical services are available for pregnant women?,"Pregnant women have access to primary medical assistance including consultations for monitoring the progress of pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice a month monitoring from the 7th to 9th month, and monitoring at home upon leaving the maternity ward. Additional services include promoting exclusive breastfeeding, testing for HIV and hepatitis, and other necessary tests. The basic package also includes supervision of labor and unexpected birth by the family doctor. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
How are medical services for pregnant women managed?,"Medical services for pregnant women are managed through primary medical assistance, which includes regular consultations to monitor the evolution of pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice a month monitoring from the 7th to 9th month, and monitoring at home after leaving the maternity ward and 4 weeks after birth. Additionally, services such as promoting exclusive breastfeeding, testing for HIV and hepatitis, and other necessary investigations are provided. Family doctors also offer additional support for labor supervision and unexpected births. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What levels are medical services for pregnant women managed on?,"Medical services for pregnant women are managed on primary medical assistance levels, which include consultations for monitoring the evolution of pregnancy and labor at various intervals throughout the pregnancy, as well as services such as supervision of labor without giving birth and unexpected birth. Additionally, services promoting exclusive breastfeeding of the child, testing for HIV and hepatitis, and other necessary investigations are recommended for pregnant women. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
Who oversees the medical services provided to pregnant women?,"The medical services provided to pregnant women are overseen by primary medical assistance, which includes consultations for monitoring the evolution of pregnancy and labor at different intervals throughout the pregnancy and postpartum period. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
Are there different types of medical care available for pregnant women?,"Yes, there are different types of medical care available for pregnant women, including primary medical assistance, consultations for monitoring the evolution of pregnancy and labor, testing for HIV and hepatitis, promotion of exclusive breastfeeding, and two diagnostic and therapeutic medical services for labor supervision and unexpected birth. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What kind of support do pregnant women receive during their prenatal care?,"Pregnant women receive primary medical assistance and regular consultations to monitor the evolution of their pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice monthly monitoring from the 7th to 9th month, and monitoring at home after leaving the maternity ward. The support also includes promoting exclusive breastfeeding until 6 months and continuing until at least 12 months, testing for HIV, hepatitis, and other necessary investigations. Additionally, services such as supervision of labor without giving birth and unexpected birth are included to ensure better access to medical care. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
Are there specialized medical services for high-risk pregnancies?,"Yes, there are specialized medical services for high-risk pregnancies, including consultations for monitoring the evolution of pregnancy and labor, supervision of the pregnant woman, testing for HIV and viral hepatitis, and other necessary paraclinical investigations. Additionally, there are services to support pregnant women such as supervision of labor without giving birth and unexpected birth, which can be provided by the family doctor. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
How are medical services for pregnant women coordinated between different healthcare providers?,"Medical services for pregnant women are coordinated between different healthcare providers through primary medical assistance, including consultations for monitoring the evolution of pregnancy and labor. This includes supervision throughout the pregnancy, monitoring at regular intervals, promotion of exclusive breastfeeding, testing for HIV and viral hepatitis, and other necessary investigations. Additionally, services such as supervision of labor without giving birth and unexpected birth can also be provided by the family doctor to support pregnant women and ensure better access to medical care. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What role do obstetricians play in managing medical services for pregnant women?,"Obstetricians play a crucial role in managing medical services for pregnant women by providing primary medical assistance, monitoring the evolution of pregnancy and labor, promoting exclusive breastfeeding, conducting necessary screenings for infections, and ensuring access to diagnostic and therapeutic services such as supervision of labor and unexpected births. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What resources are available for pregnant women in need of medical assistance?,"Pregnant women in need of medical assistance have access to primary medical assistance which includes consultations, monitoring of pregnancy and labor, supervision of breastfeeding, testing for HIV and viral hepatitis, and other necessary paraclinical investigations. Additionally, pregnant women are provided with two diagnostic and therapeutic medical services: supervision of labor without giving birth, and unexpected birth. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
How are medical services for pregnant women funded and regulated?,"Medical services for pregnant women are funded and regulated through primary medical assistance which includes consultations for monitoring the evolution of pregnancy and labor. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice a month monitoring from the 7th to 9th month, and monitoring at home upon leaving the maternity ward and 4 weeks after birth. The basic package also includes services such as supervision of labor without giving birth and unexpected birth, provided by the family doctor. Additionally, exclusive breastfeeding until 6 months and continuation until at least 12 months is promoted, along with testing for HIV, hepatitis, and other necessary investigations. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
Are there specific guidelines for medical services provided to pregnant women?,"Yes, there are specific guidelines for medical services provided to pregnant women, including consultations for monitoring the evolution of pregnancy and labor at different intervals, promotion of exclusive breastfeeding, testing for HIV and hepatitis, and other necessary paraclinical investigations. Additionally, the basic package includes supervision of labor without giving birth and unexpected birth services provided by the family doctor to support pregnant women. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What is the importance of receiving proper medical care during pregnancy?,"Receiving proper medical care during pregnancy is important for the health and well-being of both the mother and the baby. Regular consultations allow for monitoring the evolution of pregnancy and labor, ensuring any potential issues are addressed promptly. This includes promoting exclusive breastfeeding, testing for HIV and other viral infections, and providing necessary paraclinical investigations. Access to medical services such as supervision of labor and unexpected birth also helps support pregnant women throughout their pregnancy journey. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
Are there options for alternative medical care for pregnant women?,"Yes, there are options for alternative medical care for pregnant women, including primary medical assistance such as consultations for monitoring the evolution of pregnancy and labor, supervision of breastfeeding, testing for HIV and hepatitis, and other necessary paraclinical investigations. Additionally, two diagnostic and therapeutic medical services are included in the basic package to support pregnant women. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
How are medical services tailored to individual needs of pregnant women?,"Medical services for pregnant women are tailored to individual needs through primary medical assistance, including consultations for monitoring the evolution of pregnancy and labor at various intervals. This includes supervision in the first quarter, monthly monitoring from the 3rd to 7th month, twice a month monitoring from the 7th to 9th month, and monitoring at home after leaving the maternity ward. Exclusive breastfeeding promotion, testing for HIV and viral hepatitis, and other necessary investigations are also provided. Additionally, services such as supervision of labor without giving birth and unexpected birth are included in the basic package to support pregnant women and ensure better access to medical care. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What are the different stages of medical care for pregnant women?,"The different stages of medical care for pregnant women include primary medical assistance, consultations for monitoring the evolution of pregnancy and labor, supervision in the first quarter, monthly monitoring from the 3rd to 7th month, bi-weekly monitoring from the 7th to 9th month, monitoring at home upon leaving the maternity ward, and monitoring the baby 4 weeks after birth. Additional services include promoting exclusive breastfeeding, testing for HIV and viral hepatitis, and other necessary paraclinical investigations. To support pregnant women, basic package also includes supervision of labor without giving birth and unexpected birth services provided by the family doctor. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What role do midwives play in providing medical services to pregnant women?,"Midwives play a crucial role in providing primary medical assistance to pregnant women, including consultations for monitoring pregnancy and labor. They supervise the progress of pregnancy and labor at various intervals, promote exclusive breastfeeding, recommend necessary screenings for infectious diseases, and provide support during labor and unexpected births. Their goal is to ensure better access to medical services and support pregnant women throughout their pregnancy and postpartum period. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
Are there any technological advancements in medical care for pregnant women?,"Yes, there are technological advancements in medical care for pregnant women, such as monitoring the evolution of pregnancy and labor through consultations at different stages, promoting exclusive breastfeeding, testing for various infections, and providing diagnostic and therapeutic medical services to support pregnant women. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
How do pregnant women access medical services in remote areas?,"Pregnant women in remote areas can access medical services through primary medical assistance. This includes consultations for monitoring the pregnancy and labor, with supervision starting in the first trimester and continuing throughout the pregnancy. Monitoring is done monthly from the 3rd to 7th month, twice a month from the 7th to 9th month, and at home after leaving the maternity ward. The package also includes promoting exclusive breastfeeding, testing for HIV and viral hepatitis, and other necessary investigations. Additionally, basic services such as supervision of labor without giving birth and unexpected birth can be provided by the family doctor to support pregnant women in accessing medical care. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What is the role of mental health services in prenatal care for pregnant women?,"The role of mental health services in prenatal care for pregnant women includes providing primary medical assistance, monitoring the evolution of pregnancy and labor, promoting exclusive breastfeeding, conducting necessary tests, and supporting pregnant women to ensure better access to medical services. Additionally, mental health services can help address any psychological concerns or issues that may arise during pregnancy, contributing to the overall well-being of the expectant mother. For more details, visit https://dopomoha.ro/en/pregnant-women-from-ukraine.",,English,Yes,Scraped
What are my rights as a tenant?,"As a tenant, you have the right to education for preschoolers, Ukrainian pupils, and students from Ukraine located on the territory of Romania, as approved by authorities for rapid crisis management measures. For more details, visit https://dopomoha.ro/en/education.",Other,English,Yes,Trained
What actions can I take if my rights are violated by my employer?,"If your rights are violated by your employer, you can take action by seeking help from the authorities who have approved rapid crisis management measures to protect rights, such as the right to education. For more details, visit https://dopomoha.ro/en/education.",Employment,English,Yes,Trained
What documents are required for enrolling a child in school?,"For enrolling a child in school, you will need to contact the County Schools Inspectorates, fill in the application for enrolling the child in school with the audiences statute, and submit it to the County School Inspectorate. You may also need to specify if you want your child to benefit from psycho-pedagogical assistance and counseling. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How can I find out about available extracurricular activities for my child?,"To find out about available extracurricular activities for your child, contact the County Schools Inspectorates and fill out the application for enrolling your child in extracurricular activities. Be sure to check the option for psycho-pedagogical assistance if needed. The application will be analyzed within one day and you will be contacted regarding your child's assignment. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What resources are available to help Ukrainian children adapt to the Romanian education system?,"For Ukrainian children looking to adapt to the Romanian education system, they can contact Maricica Ciubara, the advisor for Ukrainian students at the Bucharest School Inspectorate (ISMB) for assistance with enrollment and integration. She can be reached at +40799626330 during working hours from 9:00 AM to 5:00 PM. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
How can teachers and school administrators support the integration of Ukrainian children into the classroom?,"Teachers and school administrators can support the integration of Ukrainian children into the classroom by contacting Maricica Ciubara, the advisor for Ukrainian students at the Bucharest School Inspectorate (ISMB), for inquiries regarding enrollment and integration processes. This will help ensure that Ukrainian children receive the necessary support and resources to successfully adapt to their new educational environment. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the top universities in Romania for continuing my studies?,"The top universities in Romania for continuing your studies include University of Bucharest, Babes-Bolyai University, and Alexandru Ioan Cuza University. Make sure to contact CNRED for assistance with diploma recognition and equivalence. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the steps I need to follow to apply for college?,"The initial steps you need to follow are to set up the file, including submitting the required documents, evaluation fee, and any other relevant documents, either online or physically. The next step is to submit the file to the designated locations. After that, you will receive a response within 30 working days. Finally, you can obtain your certificate either electronically, from the university or CNRED headquarters, or by post. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Can you outline the specific steps required for getting a certificate of recognition of studies?,"The specific steps required for obtaining a certificate of recognition of studies are as follows: 
Step 1: Set up the file by gathering necessary documents and paying the evaluation fee. 
Step 2: Submit the file online or physically at the university or Ministry of Education registry. 
Step 3: Wait for the evaluation response from CNRED within 30 working days. 
Step 4: Receive the certificate either electronically, from the university, or from CNRED headquarters. 
Step 5: If needed, request a duplicate certificate or file an appeal with the Ministry of Education registry within 45 working days. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What types of accommodations are provided for Ukrainian minors?,"Ukrainian minors under temporary protection in Romania receive free accommodation in school dormitories, a daily food allowance, and financial support for school supplies, bedding, clothing, and footwear. For more details, visit https://dopomoha.ro/en/education.",Accomodations,English,Yes,Trained
Are there any allowances or financial support available for Ukrainian minors in need?,"Yes, Ukrainian minors under temporary protection in Romania are eligible for specific support services, including free accommodation in school dormitories, a daily food allowance, and additional financial support for school supplies, bedding, clothing, and footwear. For more details, visit https://dopomoha.ro/en/education.",Accomodations,English,Yes,Trained
Are Ukrainian schools in Romania taught in the Ukrainian language?,"Yes, Ukrainian schools and classes are available in different cities of Romania, offering education in the Ukrainian language. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Do Ukrainian kindergartens in Romania follow the same curriculum as Romanian kindergartens?,"No, Ukrainian kindergartens in Romania do not follow the same curriculum as Romanian kindergartens. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What language courses are available for refugees from Ukraine?,"Language courses, yoga, drawing classes, chess, music, and more are available for refugees from Ukraine in Romania. They can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Are there any cultural integration activities specifically for refugees from Ukraine?,"Yes, there are cultural integration activities specifically for refugees from Ukraine in Romania, including free courses and activities for adults and children such as language courses, yoga, drawing classes, chess, music, and more. They can find out the schedule and sign up for courses through the provided link. For more details, visit https://dopomoha.ro/en/education.",Other,English,Yes,Trained
When does the school year typically start and end in Romania?,"The school year in Romania typically starts and ends according to the structure provided for the 2024-2025 academic year. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
What are the major holidays observed in schools and kindergartens in Romania?,"The major holidays observed in schools and kindergartens in Romania include days off listed in the structure of the 2024-2025 school year. For more details, visit https://dopomoha.ro/en/education.",Education,English,Yes,Trained
Care sunt drepturile mele ca angajat?,"Drepturile tale ca angajat includ dreptul la educație pentru copiii minori, preșcolari, elevi ucraineni și studenți din Ucraina aflați pe teritoriul României. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Cum pot sa-mi protejez drepturile de consumator?,"Pentru a-ți proteja drepturile de consumator, poți să te informezi cu privire la legislația în vigoare și să te adresezi autorităților competente în caz de neîndeplinire a drepturilor tale. De asemenea, poți folosi organizațiile de protecție a consumatorilor pentru a-ți susține interesele. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Ce pot sa fac daca mi se incalca drepturile de proprietate intelectuala?,"Puteti solicita ajutor autoritatilor pentru protejarea drepturilor dumneavoastra de proprietate intelectuala. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Care sunt documentele necesare pentru înscrierea unui copil la școală/grădiniță/activități extrașcolare?,"Documentele necesare pentru înscrierea unui copil la activități extrașcolare sau la școală includ completarea unei cereri de înscriere și, dacă este cazul, bifa opțiunea pentru asistență și consiliere psihopedagogică. Aceste cereri pot fi depuse atât în format fizic, la sediul inspectoratului școlar corespunzător, cât și electronic, la adresa de e-mail a inspectoratului. De asemenea, trebuie să fie luate în considerare și informațiile utile furnizate pentru situațiile speciale, cum ar fi copiii neînsoțiți sau mamele/adulții cu copii. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Ce resurse sunt disponibile pentru a ajuta copiii ucraineni să se integreze în sistemul de învățământ românesc?,"Pentru a ajuta copiii ucraineni să se integreze în sistemul de învățământ românesc, aceștia pot contacta Maricica Ciubara, consilier pentru elevii ucraineni la Inspectoratul Școlar al Municipiului București, la numărul +40799626330 pentru informații referitoare la procesul de înscriere și integrare. Programul de lucru este între 9:00 AM - 5:00 PM. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Care sunt pașii pentru a aplica la o universitate din România?,"Pentru a aplica la o universitate din România, trebuie să te adresezi direct universității dorite. Dacă nu deții documentele de student, poți completa o declarație pe proprie răspundere referitoare la studiile anterioare. De asemenea, trebuie să echivalezi diplomele obținute până în prezent la Centrul Național de Recunoaștere și Echivalare a Diplomelor (CNRED) și să prezinți aceste documente la universitate. Dacă ai finalizat studiile, CNRED poate evalua și recunoaște actele de studii pentru continuarea studiilor în România sau pentru accesul pe piața muncii. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Ce opțiuni de cazare există pentru studenți în România?,"Opțiuni de cazare pentru studenți în România pot fi oferite de către universitățile la care aceștia își continuă studiile. Este important să te adresezi direct universității pentru a obține informații despre posibilitățile de cazare disponibile. De asemenea, există și opțiunea de a închiria un apartament sau o cameră într-o locuință privată sau de a locui în căminele studențești, în funcție de preferințele și posibilitățile financiare ale fiecărui student. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Cum funcționează sistemul de burse pentru studenții străini în România?,"Sistemul de burse pentru studenții străini în România funcționează prin adresarea directă la universitatea la care se dorește continuarea studiilor. Este necesară prezentarea documentelor care atestă studiile anterioare și diploma obținută, iar CNRED poate ajuta la echivalarea acestor diplome. Ministerul Educației evaluează și recunoaște actele de studii pentru continuarea studiilor sau accesul pe piața forței de muncă în România. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Ce pași trebuie să urmezi pentru a-ți crea un cont?,"Pentru a-ți crea un cont, trebuie să urmezi acești pași: constituirea dosarului conform cerințelor, depunerea dosarului online sau fizic, și ridicarea atestatului în termen de maximum 30 de zile lucrătoare de la înregistrarea dosarului complet. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
Care sunt pașii pentru a rezerva o vacanță online?,"Pentru a rezerva o vacanță online, trebuie să urmezi următorii pași: 1. Constituirea dosarului cu documentele necesare. 2. Depunerea dosarului online sau fizic. 3. Ridicarea atestatului în format electronic sau fizic. For more details, visit https://dopomoha.ro/ro/educatie.",Education,Romanian,No,Trained
